fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
871164,D. Aytekin,UTC,2022-08-05T18:30:00+00:00,1659724200,1659724200,1659727800,10491,Deutsche Bank Park,Frankfurt am Main,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,False,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,1,6,0,5,1,6,,,,
871169,S. Stegemann,UTC,2022-08-06T13:30:00+00:00,1659792600,1659792600,1659796200,752,VOLKSWAGEN ARENA,Wolfsburg,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,2,2,1,2,2,2,,,,
871168,D. Siebert,UTC,2022-08-06T13:30:00+00:00,1659792600,1659792600,1659796200,703,Stadion im BORUSSIA-PARK,Mönchengladbach,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,True,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,False,3,1,1,1,3,1,,,,
871171,B. Dankert,UTC,2022-08-06T13:30:00+00:00,1659792600,1659792600,1659796200,698,WWK Arena,Augsburg,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,False,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,True,0,4,0,0,0,4,,,,
871170,F. Zwayer,UTC,2022-08-06T13:30:00+00:00,1659792600,1659792600,1659796200,751,Vonovia Ruhrstadion,Bochum,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,False,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,True,1,2,1,1,1,2,,,,
871166,M. Fritz,UTC,2022-08-06T13:30:00+00:00,1659792600,1659792600,1659796200,748,Stadion An der Alten Försterei,Berlin,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,True,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,False,3,1,1,0,3,1,,,,
871165,F. Brych,UTC,2022-08-06T16:30:00+00:00,1659803400,1659803400,1659807000,19381,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,False,1,0,1,0,1,0,,,,
871172,T. Stieler,UTC,2022-08-07T13:30:00+00:00,1659879000,1659879000,1659882600,750,Mercedes-Benz-Arena,Stuttgart,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,,1,1,1,1,1,1,,,,
871167,R. Schröder,UTC,2022-08-07T15:30:00+00:00,1659886200,1659886200,1659889800,731,RheinEnergieStadion,Köln,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 1,True,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,True,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,False,3,1,0,0,3,1,,,,
871176,T. Welz,UTC,2022-08-12T18:30:00+00:00,1660329000,1660329000,1660332600,12717,Europa-Park Stadion,Freiburg im Breisgau,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,False,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,True,1,3,1,0,1,3,,,,
871179,F. Willenborg,UTC,2022-08-13T13:30:00+00:00,1660397400,1660397400,1660401000,694,Olympiastadion Berlin,Berlin,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,1,1,1,0,1,1,,,,
871181,R. Hartmann,UTC,2022-08-13T13:30:00+00:00,1660397400,1660397400,1660401000,755,wohninvest WESERSTADION,Bremen,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,,2,2,1,1,2,2,,,,
871178,P. Ittrich,UTC,2022-08-13T13:30:00+00:00,1660397400,1660397400,1660401000,724,PreZero Arena,Sinsheim,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,True,176,Vfl Bochum,https://media.api-sports.io/football/teams/176.png,False,3,2,2,2,3,2,,,,
871174,B. Cortus,UTC,2022-08-13T13:30:00+00:00,1660397400,1660397400,1660401000,699,BayArena,Leverkusen,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,False,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,True,1,2,1,1,1,2,,,,
871175,B. Brand,UTC,2022-08-13T13:30:00+00:00,1660397400,1660397400,1660401000,738,Red Bull Arena,Leipzig,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,,2,2,1,1,2,2,,,,
871180,S. Jablonski,UTC,2022-08-13T16:30:00+00:00,1660408200,1660408200,1660411800,741,VELTINS-Arena,Gelsenkirchen,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,,2,2,1,0,2,2,,,,
871177,D. Schlager,UTC,2022-08-14T13:30:00+00:00,1660483800,1660483800,1660487400,11899,MEWA ARENA,Mainz,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,,0,0,0,0,0,0,,,,
871173,H. Osmers,UTC,2022-08-14T15:30:00+00:00,1660491000,1660491000,1660494600,700,Allianz Arena,München,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 2,True,157,Bayern Munich,https://media.api-sports.io/football/teams/157.png,True,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,False,2,0,2,0,2,0,,,,
871185,M. Jöllenbeck,UTC,2022-08-19T18:30:00+00:00,1660933800,1660933800,1660937400,703,Stadion im BORUSSIA-PARK,Mönchengladbach,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,163,Borussia Monchengladbach,https://media.api-sports.io/football/teams/163.png,True,159,Hertha Berlin,https://media.api-sports.io/football/teams/159.png,False,1,0,1,0,1,0,,,,
871187,F. Zwayer,UTC,2022-08-20T13:30:00+00:00,1661002200,1661002200,1661005800,752,VOLKSWAGEN ARENA,Wolfsburg,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,161,VfL Wolfsburg,https://media.api-sports.io/football/teams/161.png,,174,FC Schalke 04,https://media.api-sports.io/football/teams/174.png,,0,0,0,0,0,0,,,,
871182,F. Badstübner,UTC,2022-08-20T13:30:00+00:00,1661002200,1661002200,1661005800,19381,SIGNAL IDUNA PARK,Dortmund,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,165,Borussia Dortmund,https://media.api-sports.io/football/teams/165.png,False,162,Werder Bremen,https://media.api-sports.io/football/teams/162.png,True,2,3,1,0,2,3,,,,
871183,T. Reichel,UTC,2022-08-20T13:30:00+00:00,1661002200,1661002200,1661005800,699,BayArena,Leverkusen,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,168,Bayer Leverkusen,https://media.api-sports.io/football/teams/168.png,False,167,1899 Hoffenheim,https://media.api-sports.io/football/teams/167.png,True,0,3,0,2,0,3,,,,
871189,S. Stegemann,UTC,2022-08-20T13:30:00+00:00,1661002200,1661002200,1661005800,698,WWK Arena,Augsburg,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,170,FC Augsburg,https://media.api-sports.io/football/teams/170.png,False,164,FSV Mainz 05,https://media.api-sports.io/football/teams/164.png,True,1,2,1,1,1,2,,,,
871190,F. Brych,UTC,2022-08-20T13:30:00+00:00,1661002200,1661002200,1661005800,750,Mercedes-Benz-Arena,Stuttgart,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,172,VfB Stuttgart,https://media.api-sports.io/football/teams/172.png,False,160,SC Freiburg,https://media.api-sports.io/football/teams/160.png,True,0,1,0,1,0,1,,,,
871184,D. Aytekin,UTC,2022-08-20T16:30:00+00:00,1661013000,1661013000,1661016600,748,Stadion An der Alten Försterei,Berlin,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,182,Union Berlin,https://media.api-sports.io/football/teams/182.png,True,173,RB Leipzig,https://media.api-sports.io/football/teams/173.png,False,2,1,2,0,2,1,,,,
871186,M. Petersen,UTC,2022-08-21T13:30:00+00:00,1661088600,1661088600,1661092200,10491,Deutsche Bank Park,Frankfurt am Main,Match Finished,FT,90,,78,Bundesliga,Germany,https://media.api-sports.io/football/leagues/78.png,https://media.api-sports.io/flags/de.svg,2022,Regular Season - 3,True,169,Eintracht Frankfurt,https://media.api-sports.io/football/teams/169.png,,192,1.FC Köln,https://media.api-sports.io/football/teams/192.png,,1,1,0,0,1,1,,,,
