date,home_elo,away_elo,h_rest_days,h_avg_xg_for_last_5,h_avg_xg_against_last_5,h_avg_ppda_last_5,h_avg_deep_last_5,h_avg_goals_scored_last_5,h_avg_goals_conceded_last_5,h_avg_points_last_5,h_xg_diff_last_5,a_rest_days,a_avg_xg_for_last_5,a_avg_xg_against_last_5,a_avg_ppda_last_5,a_avg_deep_last_5,a_avg_goals_scored_last_5,a_avg_goals_conceded_last_5,a_avg_points_last_5,a_xg_diff_last_5,elo_diff,rest_days_diff,h2h_home_pts,target_outcome,target_total_2_5,target_home_goals,target_away_goals,league_id_2,league_id_3,league_id_4,league_id_5,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6
2014-08-23 15:00:00,1715.25720215,1632.87866211,6.0,1.55248,1.33192,11.13888888888889,9.0,1.0,2.0,0.0,0.2205600000000001,7.0,1.68343,0.991901,5.935483870967742,6.0,2.0,2.0,1.0,0.691529,82.37854003999996,-1.0,1.0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 16:00:00,1535.21484375,1635.49121094,6.0,0.8185149999999999,1.202043,15.53125,2.5,0.5,1.0,1.5,-0.3835280000000001,6.0,1.20987,1.47821,4.9838969404186795,4.0,1.5,2.5,0.5,-0.26834,-100.27636718999997,0.0,1.0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 17:30:00,1823.99902344,1864.82739258,7.0,0.613273,1.2783,11.6875,15.0,2.0,2.0,1.0,-0.665027,7.0,1.55411,0.158151,2.933333333333333,9.0,2.0,1.0,3.0,1.3959590000000002,-40.82836913999995,0.0,1.0,1,1,2,2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 19:00:00,1557.19714355,1634.47900391,7.0,1.2707865,1.29859,14.88888888888889,6.0,1.5,1.0,2.0,-0.02780349999999987,5.0,2.257652,0.796354,12.075,4.5,2.5,0.5,3.0,1.4612980000000002,-77.28186036000011,2.0,1.0,0,1,1,3,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 19:00:00,1583.4876709,1524.81518555,6.0,1.288545,0.926207,9.157051282051281,2.5,1.0,0.5,1.5,0.36233800000000005,7.0,0.6374585500000001,1.083974,15.912393162393164,1.0,0.5,0.5,1.0,-0.4465154499999999,58.67248534999999,-1.0,1.0,2,0,2,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 19:00:00,1547.26574707,1582.82507324,7.0,0.7807145,1.412545,15.061904761904762,1.5,1.5,2.5,0.5,-0.6318305,7.0,1.501585,1.752225,8.365217391304348,7.5,2.0,2.0,1.5,-0.25064,-35.55932616999985,0.0,1.0,2,0,1,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 19:00:00,1713.01647949,1595.21325684,7.0,1.2453205,0.16546805,6.328157349896481,3.0,0.5,0.0,2.0,1.07985245,7.0,1.329485,1.2100465,16.19485294117647,2.0,1.0,0.5,2.0,0.1194385,117.80322264999995,0.0,1.0,2,0,2,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-23 19:00:00,1542.64160156,1538.89416504,6.0,0.8266685,2.5421500000000004,21.852631578947367,2.0,1.5,2.5,0.5,-1.7154815000000003,7.0,0.7562445,0.8798490000000001,15.931467181467182,0.5,1.5,0.5,1.5,-0.12360450000000012,3.7474365200000648,-1.0,1.0,0,0,0,2,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2014-08-24 13:00:00,1676.5970459,1471.43347168,7.0,1.67682,0.907753,9.245967741935484,5.0,1.5,1.0,1.5,0.769067,7.0,0.537947,1.014545,15.532019704433498,2.0,0.0,1.0,0.0,-0.4765980000000001,205.1635742200001,0.0,1.0,0,0,0,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
2014-08-24 13:30:00,1578.17089844,1684.28222656,7.0,1.11757,1.90067,10.285714285714286,5.0,1.0,0.0,3.0,-0.7831000000000001,7.0,0.423368,0.909774,4.125,3.0,0.0,1.0,0.0,-0.48640599999999995,-106.11132812000005,0.0,1.0,1,0,1,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
