fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
1044885,B. Bastien,UTC,2023-08-11T19:00:00+00:00,1691780400,1691780400,1691784000,663.0,Allianz Riviera,Nice,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,84,Nice,https://media.api-sports.io/football/teams/84.png,,79,Lille,https://media.api-sports.io/football/teams/79.png,,1,1,1,0,1,1,,,,
1044884,E. Wattellier,UTC,2023-08-12T15:00:00+00:00,1691852400,1691852400,1691856000,667.0,Orange Vélodrome,Marseille,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,81,Marseille,https://media.api-sports.io/football/teams/81.png,True,93,Reims,https://media.api-sports.io/football/teams/93.png,False,2,1,1,1,2,1,,,,
1044881,B. Dechepy,UTC,2023-08-12T19:00:00+00:00,1691866800,1691866800,1691870400,671.0,Parc des Princes,Paris,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,,97,Lorient,https://media.api-sports.io/football/teams/97.png,,0,0,0,0,0,0,,,,
1044889,J. Pignard,UTC,2023-08-13T11:00:00+00:00,1691924400,1691924400,1691928000,641.0,Stade Francis-Le Blé,Brest,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,True,116,Lens,https://media.api-sports.io/football/teams/116.png,False,3,2,1,2,3,2,,,,
1044888,C. Turpin,UTC,2023-08-13T13:00:00+00:00,1691931600,1691931600,1691935200,20107.0,Stade de la Mosson-Mondial 98,Montpellier,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,82,Montpellier,https://media.api-sports.io/football/teams/82.png,,111,Le Havre,https://media.api-sports.io/football/teams/111.png,,2,2,0,1,2,2,,,,
1044887,W. Delajod,UTC,2023-08-13T13:00:00+00:00,1691931600,1691931600,1691935200,662.0,Stade de la Beaujoire - Louis Fonteneau,Nantes,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,83,Nantes,https://media.api-sports.io/football/teams/83.png,False,96,Toulouse,https://media.api-sports.io/football/teams/96.png,True,1,2,1,0,1,2,,,,
1044886,F. Letexier,UTC,2023-08-13T13:00:00+00:00,1691931600,1691931600,1691935200,644.0,Stade Gabriel-Montpied,Clermont-Ferrand,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,False,91,Monaco,https://media.api-sports.io/football/teams/91.png,True,2,4,1,2,2,4,,,,
1044883,J. Stinat,UTC,2023-08-13T15:05:00+00:00,1691939100,1691939100,1691942700,680.0,Roazhon Park,Rennes,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,94,Rennes,https://media.api-sports.io/football/teams/94.png,True,112,Metz,https://media.api-sports.io/football/teams/112.png,False,5,1,1,1,5,1,,,,
1044882,J. Brisard,UTC,2023-08-13T18:45:00+00:00,1691952300,1691952300,1691955900,681.0,Stade de la Meinau,Strasbourg,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 1,True,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,True,80,Lyon,https://media.api-sports.io/football/teams/80.png,False,2,1,0,0,2,1,,,,
1044898,J. Brisard,UTC,2023-08-18T19:00:00+00:00,1692385200,1692385200,1692388800,658.0,Stade Saint-Symphorien,Longeville-lès-Metz,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2023,Regular Season - 2,True,112,Metz,https://media.api-sports.io/football/teams/112.png,,81,Marseille,https://media.api-sports.io/football/teams/81.png,,2,2,0,1,2,2,,,,
