id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg,score_regularTime_home,score_regularTime_away,score_extraTime_home,score_extraTime_away,score_penalties_home,score_penalties_away
542420,2025-08-23T15:00:00Z,FINISHED,2,REGULAR_SEASON,,2025-08-23T17:03:51Z,"[{'id': 64781, 'name': 'Marc Bollengier', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,516,Olympique de Marseille,Marseille,MAR,https://crests.football-data.org/516.png,1045,Paris FC,Paris FC,PFC,https://crests.football-data.org/1045.png,HOME_TEAM,REGULAR,5.0,2.0,2.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.,0.0,0.0,0.0,0.0,0.0,0.0
542418,2025-08-23T17:00:00Z,IN_PLAY,2,REGULAR_SEASON,,2025-08-23T17:08:06Z,"[{'id': 1049, 'name': 'Jeremy Stinat', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,522,OGC Nice,Nice,NIC,https://crests.football-data.org/522.png,519,AJ Auxerre,Auxerre,AJA,https://crests.football-data.org/519.png,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.,0.0,0.0,0.0,0.0,0.0,0.0
542419,2025-08-23T19:05:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:01Z,"[{'id': 57092, 'name': 'Eric Wattellier', 'type': 'REFEREE', 'nationality': 'France'}]",2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,523,Olympique Lyonnais,Olympique Lyon,LYO,https://crests.football-data.org/523.png,545,FC Metz,FC Metz,FCM,https://crests.football-data.org/545.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542416,2025-08-24T13:00:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,525,FC Lorient,Lorient,FCL,https://crests.football-data.org/525.png,529,Stade Rennais FC 1901,Stade Rennais,REN,https://crests.football-data.org/529.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542415,2025-08-24T15:15:00Z,TIMED,2,REGULAR_SEASON,,2025-08-18T01:32:04Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,533,Le Havre AC,Le Havre,HAC,https://crests.football-data.org/533.png,546,Racing Club de Lens,RC Lens,RCL,https://crests.football-data.org/546.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542417,2025-08-24T15:15:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,511,Toulouse FC,Toulouse,TOU,https://crests.football-data.org/511.png,512,Stade Brestois 29,Brest,BRE,https://crests.football-data.org/512.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542423,2025-08-24T15:15:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,576,RC Strasbourg Alsace,Strasbourg,RC ,https://crests.football-data.org/576.png,543,FC Nantes,Nantes,NAN,https://crests.football-data.org/543.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542421,2025-08-24T18:45:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,521,Lille OSC,Lille,LIL,https://crests.football-data.org/521.png,548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542431,2025-08-29T18:45:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T01:32:04Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,546,Racing Club de Lens,RC Lens,RCL,https://crests.football-data.org/546.png,512,Stade Brestois 29,Brest,BRE,https://crests.football-data.org/512.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542426,2025-08-30T15:00:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,525,FC Lorient,Lorient,FCL,https://crests.football-data.org/525.png,521,Lille OSC,Lille,LIL,https://crests.football-data.org/521.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542427,2025-08-30T17:00:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,543,FC Nantes,Nantes,NAN,https://crests.football-data.org/543.png,519,AJ Auxerre,Auxerre,AJA,https://crests.football-data.org/519.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542429,2025-08-30T19:05:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,511,Toulouse FC,Toulouse,TOU,https://crests.football-data.org/511.png,524,Paris Saint-Germain FC,PSG,PSG,https://crests.football-data.org/524.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542432,2025-08-31T13:00:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,532,Angers SCO,Angers SCO,ANG,https://crests.football-data.org/532.png,529,Stade Rennais FC 1901,Stade Rennais,REN,https://crests.football-data.org/529.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542424,2025-08-31T15:15:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,533,Le Havre AC,Le Havre,HAC,https://crests.football-data.org/533.png,522,OGC Nice,Nice,NIC,https://crests.football-data.org/522.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542425,2025-08-31T15:15:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,576,RC Strasbourg Alsace,Strasbourg,RC ,https://crests.football-data.org/576.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542428,2025-08-31T15:15:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:23:18Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,1045,Paris FC,Paris FC,PFC,https://crests.football-data.org/1045.png,545,FC Metz,FC Metz,FCM,https://crests.football-data.org/545.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542430,2025-08-31T18:45:00Z,TIMED,3,REGULAR_SEASON,,2025-08-13T08:22:24Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,523,Olympique Lyonnais,Olympique Lyon,LYO,https://crests.football-data.org/523.png,516,Olympique de Marseille,Marseille,MAR,https://crests.football-data.org/516.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542433,2025-09-14T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,519,AJ Auxerre,Auxerre,AJA,https://crests.football-data.org/519.png,548,AS Monaco FC,Monaco,ASM,https://crests.football-data.org/548.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542435,2025-09-14T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,522,OGC Nice,Nice,NIC,https://crests.football-data.org/522.png,543,FC Nantes,Nantes,NAN,https://crests.football-data.org/543.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542436,2025-09-14T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,516,Olympique de Marseille,Marseille,MAR,https://crests.football-data.org/516.png,525,FC Lorient,Lorient,FCL,https://crests.football-data.org/525.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
542437,2025-09-14T00:00:00Z,SCHEDULED,4,REGULAR_SEASON,,2025-08-13T08:22:25Z,[],2081,France,FRA,https://crests.football-data.org/773.svg,2015,Ligue 1,FL1,LEAGUE,https://crests.football-data.org/FL1.png,2420,2025-08-17,2026-05-16,2,,521,Lille OSC,Lille,LIL,https://crests.football-data.org/521.png,511,Toulouse FC,Toulouse,TOU,https://crests.football-data.org/511.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.,,,,,,
