fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
718354,A. Gautier,UTC,2021-08-06T19:00:00+00:00,1628276400,1628276400,1628280000,659,Stade Louis II,Monaco,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,91,Monaco,https://media.api-sports.io/football/teams/91.png,,83,Nantes,https://media.api-sports.io/football/teams/83.png,,1,1,1,1,1,1,,,,
718352,M. Lesage,UTC,2021-08-07T15:00:00+00:00,1628348400,1628348400,1628352000,666,Groupama Stadium,Décines-Charpieu,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,80,Lyon,https://media.api-sports.io/football/teams/80.png,,106,Stade Brestois 29,https://media.api-sports.io/football/teams/106.png,,1,1,0,1,1,1,,,,
718360,A. Delerue,UTC,2021-08-07T19:00:00+00:00,1628362800,1628362800,1628366400,684,Stade de l'Aube,Troyes,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,110,Estac Troyes,https://media.api-sports.io/football/teams/110.png,False,85,Paris Saint Germain,https://media.api-sports.io/football/teams/85.png,True,1,2,1,2,1,2,,,,
718357,B. Dechepy,UTC,2021-08-08T11:00:00+00:00,1628420400,1628420400,1628424000,680,Roazhon Park,Rennes,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,94,Rennes,https://media.api-sports.io/football/teams/94.png,,116,Lens,https://media.api-sports.io/football/teams/116.png,,1,1,1,1,1,1,,,,
718351,F. Batta,UTC,2021-08-08T13:00:00+00:00,1628427600,1628427600,1628431200,638,Stade Matmut-Atlantique,Bordeaux,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,78,Bordeaux,https://media.api-sports.io/football/teams/78.png,False,99,Clermont Foot,https://media.api-sports.io/football/teams/99.png,True,0,2,0,0,0,2,,,,
718356,J. Hamel,UTC,2021-08-08T13:00:00+00:00,1628427600,1628427600,1628431200,663,Allianz Riviera,Nice,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,84,Nice,https://media.api-sports.io/football/teams/84.png,,93,Reims,https://media.api-sports.io/football/teams/93.png,,0,0,0,0,0,0,,,,
718359,J. Stinat,UTC,2021-08-08T13:00:00+00:00,1628427600,1628427600,1628431200,681,Stade de la Meinau,Strasbourg,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,95,Strasbourg,https://media.api-sports.io/football/teams/95.png,False,77,Angers,https://media.api-sports.io/football/teams/77.png,True,0,2,0,0,0,2,,,,
718358,T. Léonard,UTC,2021-08-08T13:00:00+00:00,1628427600,1628427600,1628431200,676,Stade Geoffroy-Guichard,Saint-Ètienne,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,1063,Saint Etienne,https://media.api-sports.io/football/teams/1063.png,,97,Lorient,https://media.api-sports.io/football/teams/97.png,,1,1,0,0,1,1,,,,
718353,E. Wattellier,UTC,2021-08-08T15:00:00+00:00,1628434800,1628434800,1628438400,658,Stade Saint-Symphorien,Longeville-lès-Metz,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,112,Metz,https://media.api-sports.io/football/teams/112.png,,79,Lille,https://media.api-sports.io/football/teams/79.png,,3,3,2,1,3,3,,,,
718355,J. Pignard,UTC,2021-08-08T18:45:00+00:00,1628448300,1628448300,1628451900,660,Stade de la Mosson,Montpellier,Match Finished,FT,90,,61,Ligue 1,France,https://media.api-sports.io/football/leagues/61.png,https://media.api-sports.io/flags/fr.svg,2021,Regular Season - 1,True,82,Montpellier,https://media.api-sports.io/football/teams/82.png,False,81,Marseille,https://media.api-sports.io/football/teams/81.png,True,2,3,2,0,2,3,,,,
