id,date,league_id,home_team_id,away_team_id,home_elo,away_elo,h_rest_days,h_avg_xg_for_last_5,h_avg_xg_against_last_5,h_avg_ppda_last_5,h_avg_deep_last_5,h_avg_goals_scored_last_5,h_avg_goals_conceded_last_5,h_avg_points_last_5,h_xg_diff_last_5,a_rest_days,a_avg_xg_for_last_5,a_avg_xg_against_last_5,a_avg_ppda_last_5,a_avg_deep_last_5,a_avg_goals_scored_last_5,a_avg_goals_conceded_last_5,a_avg_points_last_5,a_xg_diff_last_5,elo_diff,rest_days_diff,h2h_home_pts,day_of_week,month,target_outcome,target_total_2_5,target_home_goals,target_away_goals
4473,2020-09-16 19:00:00,3,76,74,1500.0,1551.48327637,3.0,1.283019,1.1101435,4.625,5.0,0.0,1.0,0.0,0.17287549999999996,3.0,0.6814195,0.5019095,10.913848631239937,3.0,0.0,1.0,0.0,0.17950999999999995,-51.48327637000011,0.0,1.0,2,9,2,0,1,0
4474,2020-09-17 19:00:00,3,73,75,1715.56420898,1583.89648438,4.0,0.9133635,2.17389,13.354166666666668,2.0,2.0,1.0,3.0,-1.2605265,5.0,1.57734,0.758475,9.4625,2.0,2.0,0.0,3.0,0.818865,131.66772460000016,-1.0,1.0,3,9,0,0,0,2
4475,2020-09-18 19:00:00,3,71,69,1728.59985352,1551.79260254,3.0,2.64641,0.7328233333333333,6.631528964862298,12.666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.9135866666666668,5.0,1.3430913333333334,1.5725270000000002,7.900314723590586,5.666666666666667,2.3333333333333335,2.0,1.0,-0.22943566666666682,176.80725097999994,-2.0,1.0,4,9,1,0,0,0
10,2020-09-19 11:30:00,1,10,11,1727.31481934,1500.0,5.0,1.26793,0.822944,16.263157894736842,5.0,1.0,0.0,3.0,0.444986,5.0,0.352997,2.95581,19.105263157894736,6.0,0.0,3.0,0.0,-2.6028130000000003,227.31481933999999,0.0,1.0,5,9,2,1,5,2
2240,2020-09-19 14:00:00,2,41,31,1767.15185547,1684.08532715,5.0,2.01913,0.556003,5.620689655172414,11.0,1.0,1.0,1.0,1.463127,7.0,0.344008,0.783653,4.407407407407407,1.0,0.0,0.0,1.0,-0.43964500000000006,83.06652832000009,-2.0,1.0,5,9,2,1,2,1
11,2020-09-19 14:00:00,1,6,3,1623.5291748,1584.40698242,6.0,0.269813,3.15412,9.333333333333334,2.0,3.0,4.0,0.0,-2.8843069999999997,7.0,0.126327,2.16287,32.69230769230769,0.0,0.0,3.0,0.0,-2.036543,39.12219237999989,-1.0,1.0,5,9,2,1,4,3
4476,2020-09-19 15:00:00,3,68,57,1516.82592773,1618.08984375,6.0,2.2470233333333334,0.48146833333333333,11.644456607674998,6.0,1.6666666666666667,1.3333333333333333,2.0,1.765555,7.0,1.0388323333333334,0.83221,16.103632478632477,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0.20662233333333335,-101.2639160199999,-1.0,1.0,5,9,2,1,2,1
4477,2020-09-19 19:00:00,3,62,65,1680.671875,1618.74987793,6.0,1.7254766666666665,0.6337326666666666,13.42794486215539,6.0,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.0917439999999998,6.0,1.7119769999999999,1.1892093333333333,7.7416386083052755,8.0,1.6666666666666667,1.0,2.3333333333333335,0.5227676666666665,61.92199707000009,0.0,1.0,5,9,2,1,2,1
2238,2020-09-19 19:00:00,2,32,39,1500.0,1743.2935791,7.0,0.783653,0.344008,5.2272727272727275,2.0,0.0,0.0,1.0,0.43964500000000006,6.0,1.72531,2.37179,14.5,4.0,4.0,2.0,3.0,-0.6464799999999999,-243.2935791,1.0,1.0,5,9,2,1,2,1
9,2020-09-19 19:00:00,1,4,7,1806.66320801,1672.36401367,7.0,2.16287,0.126327,21.928571428571427,11.0,3.0,0.0,3.0,2.036543,7.0,0.861445,1.65911,6.407407407407407,5.0,0.0,2.0,0.0,-0.7976650000000001,134.29919433999999,0.0,1.0,5,9,2,1,2,1
16,2020-09-20 11:00:00,1,2,9,1712.36206055,1797.82580566,7.0,1.26267,1.39569,3.608695652173913,14.0,0.0,1.0,0.0,-0.13302000000000014,6.0,0.822944,1.26793,11.333333333333334,9.0,0.0,1.0,0.0,-0.444986,-85.46374510999999,1.0,1.0,6,9,0,1,2,5
4483,2020-09-20 11:00:00,3,67,76,1630.9855957,1500.0,7.0,0.5886993333333334,1.6544596666666667,9.097243107769424,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,-1.0657603333333334,3.0,1.6632026666666666,1.0670453333333334,5.397058823529412,7.0,0.3333333333333333,0.6666666666666666,1.0,0.5961573333333332,130.98559569999998,4.0,1.0,6,9,0,1,0,3
4481,2020-09-20 13:00:00,3,72,60,1644.76635742,1591.41601562,4.0,1.314268,1.4447780000000001,12.012525252525252,4.333333333333333,2.0,1.3333333333333333,2.0,-0.13051000000000013,7.0,1.5607863333333334,1.1165886666666667,15.8528972520908,4.666666666666667,0.6666666666666666,0.6666666666666666,2.0,0.4441976666666667,53.350341800000024,-3.0,1.0,6,9,2,1,4,1
4480,2020-09-20 13:00:00,3,74,66,1552.72802734,1616.36108398,3.0,0.7812293333333332,1.142463,19.37589908749329,3.3333333333333335,0.0,1.0,0.0,-0.3612336666666668,7.0,0.787988,1.910558,16.685202589807854,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,-1.12257,-63.63305664000018,-4.0,1.0,6,9,2,1,2,1
4484,2020-09-20 13:00:00,3,64,59,1563.21887207,1513.23706055,7.0,0.618925,2.0140499999999997,14.255652173913044,4.0,0.3333333333333333,2.3333333333333335,0.0,-1.3951249999999997,7.0,0.417216,2.7301633333333335,20.676190476190477,3.3333333333333335,0.3333333333333333,2.3333333333333335,0.0,-2.3129473333333337,49.981811520000065,0.0,1.0,6,9,2,0,1,0
4478,2020-09-20 13:00:00,3,70,63,1547.21740723,1493.21118164,7.0,1.5969403333333334,1.255387,7.458644636015325,6.333333333333333,1.3333333333333333,2.3333333333333335,1.0,0.3415533333333334,7.0,1.402261,1.2359653333333334,6.926064633041378,2.0,1.6666666666666667,2.0,1.0,0.16629566666666662,54.006225589999985,0.0,1.0,6,9,2,1,3,2
15,2020-09-20 13:00:00,1,8,13,1500.0,1647.08032227,7.0,1.65911,0.861445,24.181818181818183,10.0,2.0,0.0,3.0,0.7976650000000001,5.0,1.44281,1.27062,9.344827586206897,3.0,1.0,3.0,0.0,0.17218999999999984,-147.0803222699999,2.0,1.0,6,9,0,1,0,3
2244,2020-09-20 14:00:00,2,42,29,1500.0,1547.05957031,6.0,0.556003,2.01913,13.238095238095237,3.0,1.0,1.0,1.0,-1.463127,7.0,0.600934,0.633286,6.666666666666667,4.0,0.0,2.0,0.0,-0.03235200000000005,-47.059570310000026,-1.0,1.0,6,9,0,0,0,2
4482,2020-09-20 15:00:00,3,58,75,1590.99645996,1603.99743652,7.0,1.1507436666666668,1.248453,15.568627450980392,2.6666666666666665,1.0,1.0,1.3333333333333333,-0.0977093333333332,2.0,1.3946833333333333,1.3902366666666666,9.699137931034484,2.6666666666666665,2.0,0.0,3.0,0.00444666666666671,-13.000976560000026,5.0,1.0,6,9,1,1,2,2
13,2020-09-20 15:30:00,1,14,5,1825.85424805,1993.09631348,5.0,1.27062,1.44281,12.695652173913043,6.0,3.0,1.0,3.0,-0.17218999999999984,7.0,3.15412,0.269813,9.935483870967742,19.0,4.0,3.0,3.0,2.8843069999999997,-167.2420654299999,-2.0,1.0,6,9,0,0,0,2
2242,2020-09-20 16:30:00,2,36,37,1500.0,1500.0,7.0,0.341233,1.17642,9.944444444444445,4.0,1.0,0.0,3.0,-0.835187,7.0,0.858211,0.31178,10.285714285714286,2.0,1.0,1.0,1.0,0.5464309999999999,0.0,0.0,1.0,6,9,2,0,2,0
2241,2020-09-20 16:30:00,2,33,35,1728.10900879,1635.45812988,8.0,0.545144,0.483337,17.9375,2.0,2.0,0.0,3.0,0.061806999999999945,7.0,1.17642,0.341233,8.56,1.0,0.0,1.0,0.0,0.835187,92.65087891000007,1.0,1.0,6,9,2,1,2,1
4479,2020-09-20 19:00:00,3,73,61,1700.36877441,1692.63146973,3.0,1.4934956666666668,1.7923833333333332,11.8258547008547,4.666666666666667,1.3333333333333333,1.3333333333333333,2.0,-0.29888766666666644,7.0,0.7074286666666666,0.7461760000000001,12.973572037510657,3.3333333333333335,1.0,0.3333333333333333,2.3333333333333335,-0.03874733333333347,7.737304680000079,-4.0,1.0,6,9,1,0,1,1
6473,2020-09-25 18:30:00,4,97,88,1500.0,1500.0,6.0,2.05406,0.495892,4.794117647058823,3.0,4.0,1.0,3.0,1.5581680000000002,6.0,2.46928,0.618787,6.769230769230769,9.0,1.0,1.0,1.0,1.850493,0.0,0.0,1.0,4,9,0,1,1,3
4485,2020-09-25 19:00:00,3,61,58,1694.2097168,1590.00512695,5.0,0.904249,0.7759065,12.595563643517607,4.25,1.0,0.5,2.0,0.12834249999999991,5.0,1.1970052500000001,1.19568475,13.676470588235293,4.0,1.25,1.25,1.25,0.0013205000000000577,104.20458985000005,0.0,1.0,4,9,2,0,2,0
2245,2020-09-26 11:00:00,2,35,43,1631.10339355,1744.01086426,5.0,0.9733149999999999,1.3978815,10.373750000000001,1.5,0.5,1.5,0.0,-0.42456650000000007,6.0,0.702715,0.486466,6.166666666666667,2.0,1.0,0.0,3.0,0.21624899999999997,-112.9074707100001,-1.0,1.0,5,9,1,0,0,0
19,2020-09-26 11:30:00,1,13,17,1665.06896973,1500.0,5.0,1.659705,0.895649,10.093466424682397,3.0,2.0,1.5,1.5,0.764056,6.0,1.09737,1.91456,3.3076923076923075,9.0,1.0,3.0,0.0,-0.8171900000000001,165.06896972999994,-1.0,1.0,5,9,0,1,2,3
6477,2020-09-26 13:30:00,4,87,92,1500.0,1594.34155273,6.0,0.510293,1.70398,12.1,5.0,0.0,3.0,0.0,-1.1936870000000002,7.0,1.04515,1.42046,13.222222222222221,1.0,1.0,3.0,0.0,-0.37531000000000003,-94.3415527300001,-1.0,1.0,5,9,1,0,1,1
6474,2020-09-26 13:30:00,4,89,90,1500.0,1500.0,7.0,0.618787,2.46928,12.44,2.0,1.0,1.0,1.0,-1.850493,7.0,2.40801,2.9032,11.91304347826087,5.0,2.0,3.0,0.0,-0.49519,0.0,0.0,1.0,5,9,2,0,1,0
6475,2020-09-26 13:30:00,4,93,86,1624.11950684,1500.0,7.0,1.42046,1.04515,21.25,0.0,3.0,1.0,3.0,0.37531000000000003,6.0,1.70398,0.510293,28.76923076923077,7.0,3.0,0.0,3.0,1.1936870000000002,124.11950683999999,1.0,1.0,5,9,2,0,2,0
6476,2020-09-26 13:30:00,4,101,98,1500.0,1500.0,5.0,0.441229,1.27652,11.875,8.0,0.0,0.0,1.0,-0.8352910000000001,6.0,3.22891,1.07201,6.185185185185185,14.0,3.0,1.0,3.0,2.1569000000000003,0.0,-1.0,1.0,5,9,1,0,1,1
6478,2020-09-26 13:30:00,4,99,94,1500.0,1500.0,6.0,1.07201,3.22891,29.58823529411765,2.0,1.0,3.0,0.0,-2.1569000000000003,7.0,2.15741,2.07011,7.619047619047619,12.0,2.0,3.0,0.0,0.08729999999999993,0.0,-1.0,1.0,5,9,0,1,1,4
21,2020-09-26 14:00:00,1,1,10,1701.18225098,1734.38525391,6.0,1.655125,1.1800199999999998,15.462121212121211,2.5,2.0,0.5,3.0,0.4751050000000001,7.0,2.715235,0.5691455,12.679197994987469,5.5,3.0,1.0,3.0,2.1460895,-33.20300293000014,-1.0,1.0,5,9,0,1,1,2
2248,2020-09-26 14:00:00,2,39,42,1735.65930176,1500.0,6.0,1.0909765,2.3535649999999997,11.660714285714285,3.0,2.5,2.0,1.5,-1.2625884999999997,6.0,0.3899245,1.762175,8.458333333333332,1.5,0.5,1.5,0.5,-1.3722505,235.65930176000006,0.0,1.0,5,9,1,0,1,1
4487,2020-09-26 15:00:00,3,75,62,1604.98876953,1688.4173584,6.0,1.3053575,1.376625,9.911853448275863,2.75,2.0,0.5,2.5,-0.07126750000000004,6.0,1.5084765,0.67953,13.520958646616542,5.25,2.25,1.25,2.5,0.8289465,-83.42858887000011,0.0,1.0,5,9,0,1,0,3
6479,2020-09-26 16:30:00,4,85,96,1500.0,1500.0,7.0,0.14975,4.62088,25.333333333333332,3.0,0.0,8.0,0.0,-4.47113,7.0,0.495892,2.05406,12.090909090909092,6.0,1.0,4.0,0.0,-1.5581680000000002,0.0,0.0,1.0,5,9,0,1,1,3
