id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg
544214,2025-08-15T17:00:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 80747, 'name': 'Javier Alberola Rojas', 'type': 'REFEREE', 'nationality': None}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,298,Girona FC,Girona,GIR,https://crests.football-data.org/298.png,87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY,https://crests.football-data.org/87.png,AWAY_TEAM,REGULAR,1.0,3.0,0.0,3.0,Activate Odds-Package in User-Panel to retrieve odds.
544220,2025-08-15T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 215569, 'name': 'Alejandro Muñiz Ruiz', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,94,Villarreal CF,Villarreal,VIL,https://crests.football-data.org/94.png,1048,Real Oviedo,Real Oviedo,OVI,https://crests.football-data.org/1048.png,HOME_TEAM,REGULAR,2.0,0.0,2.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544216,2025-08-16T17:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 206223, 'name': 'José Munuera Montero', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,89,RCD Mallorca,Mallorca,MAL,https://crests.football-data.org/89.png,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,AWAY_TEAM,REGULAR,0.0,3.0,0.0,2.0,Activate Odds-Package in User-Panel to retrieve odds.
544211,2025-08-16T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 214573, 'name': 'Miguel Sesma Espinosa', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,263,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png,88,Levante UD,Levante,LEV,https://crests.football-data.org/88.png,HOME_TEAM,REGULAR,2.0,1.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544219,2025-08-16T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 207080, 'name': 'José Sánchez Martínez', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,95,Valencia CF,Valencia,VAL,https://crests.football-data.org/95.png,92,Real Sociedad de Fútbol,Real Sociedad,RSO,https://crests.football-data.org/92.png,DRAW,REGULAR,1.0,1.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544213,2025-08-17T15:00:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,558,RC Celta de Vigo,Celta,CEL,https://crests.football-data.org/558.png,82,Getafe CF,Getafe,GET,https://crests.football-data.org/82.png,AWAY_TEAM,REGULAR,0.0,2.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544212,2025-08-17T17:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,77,Athletic Club,Athletic,ATH,https://crests.football-data.org/77.png,559,Sevilla FC,Sevilla FC,SEV,https://crests.football-data.org/559.png,HOME_TEAM,REGULAR,3.0,2.0,2.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544215,2025-08-17T19:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,80,RCD Espanyol de Barcelona,Espanyol,ESP,https://crests.football-data.org/80.png,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,HOME_TEAM,REGULAR,2.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
544217,2025-08-18T19:00:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 56995, 'name': 'Víctor García Verdura', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,285,Elche CF,Elche,ELC,https://crests.football-data.org/285.png,90,Real Betis Balompié,Real Betis,BET,https://crests.football-data.org/90.png,DRAW,REGULAR,1.0,1.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
544218,2025-08-19T19:00:00Z,FINISHED,1,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 206205, 'name': 'Adrián Cordero Vega', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,86,Real Madrid CF,Real Madrid,RMA,https://crests.football-data.org/86.png,79,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544225,2025-08-22T19:30:00Z,FINISHED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,"[{'id': 207048, 'name': 'Miguel Ortiz Arias', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,90,Real Betis Balompié,Real Betis,BET,https://crests.football-data.org/90.png,263,Deportivo Alavés,Alavés,ALA,https://crests.football-data.org/263.png,HOME_TEAM,REGULAR,1.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
544227,2025-08-23T15:00:00Z,TIMED,2,REGULAR_SEASON,,2025-08-18T01:32:03Z,"[{'id': 215507, 'name': 'José Luis Guzmán Mansilla', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,89,RCD Mallorca,Mallorca,MAL,https://crests.football-data.org/89.png,558,RC Celta de Vigo,Celta,CEL,https://crests.football-data.org/558.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
544222,2025-08-23T17:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:01Z,"[{'id': 207113, 'name': 'César Soto Grado', 'type': 'REFEREE', 'nationality': 'Spain'}]",2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,78,Club Atlético de Madrid,Atleti,ATL,https://crests.football-data.org/78.png,285,Elche CF,Elche,ELC,https://crests.football-data.org/285.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
544226,2025-08-23T19:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:01Z,[],2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,88,Levante UD,Levante,LEV,https://crests.football-data.org/88.png,81,FC Barcelona,Barça,FCB,https://crests.football-data.org/81.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
544223,2025-08-24T15:00:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T01:32:02Z,[],2224,Spain,ESP,https://crests.football-data.org/760.svg,2014,Primera Division,PD,LEAGUE,https://crests.football-data.org/laliga.png,2429,2025-08-17,2026-05-24,2,,79,CA Osasuna,Osasuna,OSA,https://crests.football-data.org/79.png,95,Valencia CF,Valencia,VAL,https://crests.football-data.org/95.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
