Model,Outcome Acc,Outcome F1,Goals MAE,Type
Random Forest,0.5038759689922481,0.4709136455891139,0.9159584988431515,Baseline
MLP,0.4768616396523373,0.470424815998786,1.0722750425338745,Neural Network
LSTM,0.47780126849894294,0.4673429247990957,1.3983729481697083,Neural Network
GRU,0.4754521963824289,0.46688561641463666,1.4084196090698242,Neural Network
