Model,Acc,F1_Macro,F1_Away,F1_Draw,F1_Home,Total_Acc,Goals_MAE,Exact_Score
MLP,0.49776838148931174,0.4732080729544463,0.5023219814241486,0.30782997762863534,0.6094722598105548,0.569415081042988,1.0801020562648773,0.08832511158092553
Random Forest,0.5038759689922481,0.4709136455891139,0.53319357092942,0.27715736040609135,0.6023900054318305,0.5611933286351891,0.9159584988431515,0.11205073995771671
LSTM,0.47780126849894294,0.4673429247990957,0.455026455026455,0.3613415073927155,0.5856608119781169,0.5600187925769321,1.3983729481697083,0.06201550387596899
GRU,0.4754521963824289,0.46688561641463666,0.46186988367083154,0.3560171919770774,0.5827697735960011,0.49166079398637536,1.4084196090698242,0.06201550387596899
