lr,hidden_size,dropout,f1_macro
0.001,64,0.5,0.4759283890766832
0.001,128,0.5,0.47443903295342316
0.0005,128,0.5,0.4728397281244348
0.001,64,0.3,0.47139054415598086
0.0005,64,0.3,0.4682086924465278
0.0005,128,0.3,0.4664532321664219
0.001,128,0.3,0.4651359046823688
0.0005,64,0.5,0.45774923769708836
