fixture_id,fixture_referee,fixture_timezone,fixture_date,fixture_timestamp,fixture_periods_first,fixture_periods_second,fixture_venue_id,fixture_venue_name,fixture_venue_city,fixture_status_long,fixture_status_short,fixture_status_elapsed,fixture_status_extra,league_id,league_name,league_country,league_logo,league_flag,league_season,league_round,league_standings,teams_home_id,teams_home_name,teams_home_logo,teams_home_winner,teams_away_id,teams_away_name,teams_away_logo,teams_away_winner,goals_home,goals_away,score_halftime_home,score_halftime_away,score_fulltime_home,score_fulltime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away
731587,M. Volpi,UTC,2021-08-21T16:30:00+00:00,1629563400,1629563400,1629567000,890,Stadio Marc'Antonio Bentegodi,Verona,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,504,Verona,https://media.api-sports.io/football/teams/504.png,False,488,Sassuolo,https://media.api-sports.io/football/teams/488.png,True,2,3,0,1,2,3,,,,
731588,V. Marini,UTC,2021-08-21T16:30:00+00:00,1629563400,1629563400,1629567000,907,Stadio Giuseppe Meazza,Milano,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,505,Inter,https://media.api-sports.io/football/teams/505.png,True,495,Genoa,https://media.api-sports.io/football/teams/495.png,False,4,0,2,0,4,0,,,,
731592,D. Chiffi,UTC,2021-08-21T18:45:00+00:00,1629571500,1629571500,1629575100,943,Stadio Olimpico Grande Torino,Torino,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,503,Torino,https://media.api-sports.io/football/teams/503.png,False,499,Atalanta,https://media.api-sports.io/football/teams/499.png,True,1,2,0,1,1,2,,,,
731586,S. Sozza,UTC,2021-08-21T18:45:00+00:00,1629571500,1629571500,1629575100,896,Stadio Carlo Castellani,Empoli,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,511,Empoli,https://media.api-sports.io/football/teams/511.png,False,487,Lazio,https://media.api-sports.io/football/teams/487.png,True,1,3,1,3,1,3,,,,
731593,I. Pezzuto,UTC,2021-08-22T16:30:00+00:00,1629649800,1629649800,1629653400,928,Dacia Arena,Udine,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,494,Udinese,https://media.api-sports.io/football/teams/494.png,,496,Juventus,https://media.api-sports.io/football/teams/496.png,,2,2,0,2,2,2,,,,
731584,A. Rapuano,UTC,2021-08-22T16:30:00+00:00,1629649800,1629649800,1629653400,881,Stadio Renato Dall'Ara,Bologna,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,500,Bologna,https://media.api-sports.io/football/teams/500.png,True,514,Salernitana,https://media.api-sports.io/football/teams/514.png,False,3,2,0,0,3,2,,,,
731589,G. Aureliano,UTC,2021-08-22T18:45:00+00:00,1629657900,1629657900,1629661500,11904,Stadio Diego Armando Maradona,Napoli,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,492,Napoli,https://media.api-sports.io/football/teams/492.png,True,517,Venezia,https://media.api-sports.io/football/teams/517.png,False,2,0,0,0,2,0,,,,
731590,L. Pairetto,UTC,2021-08-22T18:45:00+00:00,1629657900,1629657900,1629661500,910,Stadio Olimpico,Roma,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,497,AS Roma,https://media.api-sports.io/football/teams/497.png,True,502,Fiorentina,https://media.api-sports.io/football/teams/502.png,False,3,1,1,0,3,1,,,,
731585,F. Fourneau,UTC,2021-08-23T16:30:00+00:00,1629736200,1629736200,1629739800,12275,Unipol Domus,Cagliari,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,490,Cagliari,https://media.api-sports.io/football/teams/490.png,,515,Spezia,https://media.api-sports.io/football/teams/515.png,,2,2,0,1,2,2,,,,
731591,M. Guida,UTC,2021-08-23T18:45:00+00:00,1629744300,1629744300,1629747900,905,Stadio Comunale Luigi Ferraris,Genova,Match Finished,FT,90,,135,Serie A,Italy,https://media.api-sports.io/football/leagues/135.png,https://media.api-sports.io/flags/it.svg,2021,Regular Season - 1,True,498,Sampdoria,https://media.api-sports.io/football/teams/498.png,False,489,AC Milan,https://media.api-sports.io/football/teams/489.png,True,0,1,0,1,0,1,,,,
