id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg
540416,2025-08-30T13:30:00Z,TIMED,2,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540417,2025-08-30T13:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540418,2025-08-30T13:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540421,2025-08-30T13:30:00Z,TIMED,2,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540420,2025-08-30T16:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540419,2025-08-31T13:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540415,2025-08-31T15:30:00Z,TIMED,2,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540422,2025-08-31T17:30:00Z,TIMED,2,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540425,2025-09-12T18:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540426,2025-09-13T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540427,2025-09-13T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540429,2025-09-13T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540430,2025-09-13T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540432,2025-09-13T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540424,2025-09-13T16:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540431,2025-09-14T13:30:00Z,TIMED,3,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540428,2025-09-14T15:30:00Z,TIMED,3,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540438,2025-09-19T18:30:00Z,TIMED,4,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540437,2025-09-20T13:30:00Z,TIMED,4,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540439,2025-09-20T13:30:00Z,TIMED,4,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540440,2025-09-20T13:30:00Z,TIMED,4,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540441,2025-09-20T13:30:00Z,TIMED,4,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,7,Hamburger SV,HSV,HSV,https://crests.football-data.org/7.png,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540436,2025-09-20T16:30:00Z,TIMED,4,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,1,1. FC Köln,1. FC Köln,KOE,https://crests.football-data.org/1.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540434,2025-09-21T13:30:00Z,TIMED,4,REGULAR_SEASON,,2025-07-10T15:20:53Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540433,2025-09-21T15:30:00Z,TIMED,4,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540435,2025-09-21T17:30:00Z,TIMED,4,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540442,2025-09-26T18:30:00Z,TIMED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
540444,2025-09-27T13:30:00Z,TIMED,5,REGULAR_SEASON,,2025-08-23T00:20:52Z,[],2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2414,2025-08-22,2026-05-16,1,,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,,REGULAR,,,,,Activate Odds-Package in User-Panel to retrieve odds.
