id,utcDate,status,matchday,stage,group,lastUpdated,referees,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg
502371,2024-08-23T18:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 57519, 'name': 'Robert Schröder', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,AWAY_TEAM,REGULAR,2.0,3.0,0.0,2.0,Activate Odds-Package in User-Panel to retrieve odds.
502372,2024-08-24T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 43922, 'name': 'Benjamin Brand', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,36,VfL Bochum 1848,Bochum,BOC,https://crests.football-data.org/36.png,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
502374,2024-08-24T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 43943, 'name': 'Tobias Stieler', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,2,TSG 1899 Hoffenheim,Hoffenheim,TSG,https://crests.football-data.org/2.png,720,Holstein Kiel,Holstein Kiel,KSV,https://crests.football-data.org/720.png,HOME_TEAM,REGULAR,3.0,2.0,2.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
502375,2024-08-24T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 57539, 'name': 'Tobias Welz', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,17,SC Freiburg,Freiburg,SCF,https://crests.football-data.org/17.png,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,HOME_TEAM,REGULAR,3.0,1.0,1.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
502376,2024-08-24T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 9567, 'name': 'Sascha Stegemann', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,16,FC Augsburg,Augsburg,FCA,https://crests.football-data.org/16.png,12,SV Werder Bremen,Bremen,SVW,https://crests.football-data.org/12.png,DRAW,REGULAR,2.0,2.0,2.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
502378,2024-08-24T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 253, 'name': 'Harm Osmers', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,DRAW,REGULAR,1.0,1.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
502373,2024-08-24T16:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 43878, 'name': 'Felix Zwayer', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,HOME_TEAM,REGULAR,2.0,0.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
502377,2024-08-25T13:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 15408, 'name': 'Daniel Siebert', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,11,VfL Wolfsburg,Wolfsburg,WOB,https://crests.football-data.org/11.png,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,AWAY_TEAM,REGULAR,2.0,3.0,0.0,1.0,Activate Odds-Package in User-Panel to retrieve odds.
502379,2024-08-25T15:30:00Z,FINISHED,1,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 15824, 'name': 'Sven Jablonski', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,44,1. FC Heidenheim 1846,Heidenheim,HEI,https://crests.football-data.org/44.png,AWAY_TEAM,REGULAR,0.0,2.0,0.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
502386,2024-08-30T18:30:00Z,FINISHED,2,REGULAR_SEASON,,2025-05-12T00:20:50Z,"[{'id': 15746, 'name': 'Bastian Dankert', 'type': 'REFEREE', 'nationality': 'Germany'}]",2088,Germany,DEU,https://crests.football-data.org/759.svg,2002,Bundesliga,BL1,LEAGUE,https://crests.football-data.org/BL1.png,2308,2024-08-23,2025-05-17,33,,28,1. FC Union Berlin,Union Berlin,UNB,https://crests.football-data.org/28.png,20,FC St. Pauli 1910,St. Pauli,STP,https://crests.football-data.org/20.png,HOME_TEAM,REGULAR,1.0,0.0,1.0,0.0,Activate Odds-Package in User-Panel to retrieve odds.
